session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_120330,2026-09-03T12:04:20.115000,1,preflop,user,raise 20,31774.0
20260903_120330,2026-09-03T12:04:27.141000,1,preflop,user,raise 40,
20260903_120330,2026-09-03T12:04:28.955000,1,preflop,robot,call 20,
20260903_120330,2026-09-03T12:04:47.656000,1,flop,user,check,18701.0
20260903_120330,2026-09-03T12:04:49.366000,1,flop,robot,check,
20260903_120330,2026-09-03T12:05:25.499000,1,turn,user,check,36125.0
20260903_120330,2026-09-03T12:05:27.439000,1,turn,robot,check,
20260903_120330,2026-09-03T12:05:42.751000,1,river,user,raise 20,15307.0
20260903_120330,2026-09-03T12:05:44.193000,1,river,robot,call 20,
20260903_120330,2026-09-03T12:06:21.329000,2,preflop,user,call,11395.0
20260903_120330,2026-09-03T12:06:23.312000,2,preflop,robot,raise 216,
20260903_120330,2026-09-03T12:06:47.615000,2,preflop,user,fold,24303.0
20260903_120330,2026-09-03T12:07:21.495000,3,preflop,user,call,9765.0
20260903_120330,2026-09-03T12:07:22.539000,3,preflop,robot,raise 216,
20260903_120330,2026-09-03T12:07:44.629000,3,preflop,user,raise 300,22075.0
20260903_120330,2026-09-03T12:07:46.296000,3,preflop,robot,raise 456,
20260903_120330,2026-09-03T12:08:15.950000,3,preflop,user,raise 180,29652.0
20260903_120330,2026-09-03T12:08:22.182000,3,preflop,user,call,
20260903_120330,2026-09-03T12:08:32.858000,3,flop,user,allin,10672.0
20260903_120330,2026-09-03T12:08:34.319000,3,flop,robot,fold,
