session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_133413,2026-09-03T13:34:58.522000,1,preflop,user,raise 40,26811.0
20260903_133413,2026-09-03T13:34:59.873000,1,preflop,robot,call 20,
20260903_133413,2026-09-03T13:35:59.486000,1,flop,user,check,59609.0
20260903_133413,2026-09-03T13:36:00.880000,1,flop,robot,check,
20260903_133413,2026-09-03T13:36:15.860000,1,turn,user,raise 20,14976.0
20260903_133413,2026-09-03T13:36:17.203000,1,turn,robot,call 20,
20260903_133413,2026-09-03T13:36:35.795000,1,river,user,check,18585.0
20260903_133413,2026-09-03T13:36:37.811000,1,river,robot,raise 30,
20260903_133413,2026-09-03T13:36:51.267000,1,river,user,call,13434.0
20260903_133413,2026-09-03T13:37:29.997000,2,preflop,user,call,13271.0
20260903_133413,2026-09-03T13:37:31.448000,2,preflop,robot,raise 216,
20260903_133413,2026-09-03T13:38:05.232000,2,preflop,user,call,33779.0
20260903_133413,2026-09-03T13:38:11.064000,2,flop,user,check,5822.0
20260903_133413,2026-09-03T13:38:12.167000,2,flop,robot,raise 112,
20260903_133413,2026-09-03T13:38:28.085000,2,flop,user,call,15912.0
20260903_133413,2026-09-03T13:38:35.385000,2,turn,user,raise 20,7293.0
20260903_133413,2026-09-03T13:38:36.568000,2,turn,robot,raise 188,
20260903_133413,2026-09-03T13:38:54.791000,2,turn,user,call,18223.0
20260903_133413,2026-09-03T13:38:59.386000,2,river,user,check,4585.0
20260903_133413,2026-09-03T13:39:10.130000,2,river,robot,allin 484,
20260903_133413,2026-09-03T13:39:28.983000,2,river,user,call,18850.0
20260903_133413,2026-09-03T13:39:57.953000,3,preflop,user,raise 40,10953.0
20260903_133413,2026-09-03T13:39:59.288000,3,preflop,robot,raise 236,
20260903_133413,2026-09-03T13:40:18.933000,3,preflop,user,call,19627.0
20260903_133413,2026-09-03T13:40:25.197000,3,flop,user,check,6256.0
20260903_133413,2026-09-03T13:40:26.753000,3,flop,robot,raise 109,
20260903_133413,2026-09-03T13:40:48.744000,3,flop,user,raise 129,21989.0
20260903_133413,2026-09-03T13:40:49.838000,3,flop,robot,raise 222,
20260903_133413,2026-09-03T13:41:10.092000,3,flop,user,call,20249.0
20260903_133413,2026-09-03T13:41:16.431000,3,turn,user,check,6326.0
20260903_133413,2026-09-03T13:41:18.233000,3,turn,robot,raise 135,
20260903_133413,2026-09-03T13:41:37.273000,3,turn,user,call,19028.0
20260903_133413,2026-09-03T13:41:41.790000,3,river,user,check,4516.0
20260903_133413,2026-09-03T13:41:52.399000,3,river,robot,allin 407,
20260903_133413,2026-09-03T13:42:10.617000,3,river,user,call,18218.0
