session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_155808,2026-09-03T15:58:40.498000,1,preflop,user,call,11234.0
20260903_155808,2026-09-03T15:58:42.402000,1,preflop,robot,raise 40,
20260903_155808,2026-09-03T15:58:51.679000,1,preflop,user,call,9259.0
20260903_155808,2026-09-03T15:58:59.603000,1,flop,user,allin,7918.0
20260903_155808,2026-09-03T15:59:01.534000,1,flop,robot,fold,
20260903_155808,2026-09-03T15:59:46.052000,2,preflop,user,call,10240.0
20260903_155808,2026-09-03T15:59:48.011000,2,preflop,robot,raise 216,
20260903_155808,2026-09-03T16:00:08.181000,2,preflop,user,raise 236,20163.0
20260903_155808,2026-09-03T16:00:10.027000,2,preflop,robot,raise 392,
20260903_155808,2026-09-03T16:00:27.587000,2,preflop,user,call,17521.0
20260903_155808,2026-09-03T16:00:35.170000,2,flop,user,check,7566.0
20260903_155808,2026-09-03T16:00:36.716000,2,flop,robot,raise 86,
20260903_155808,2026-09-03T16:00:52.773000,2,flop,user,allin,16053.0
20260903_155808,2026-09-03T16:00:54.420000,2,flop,robot,fold,
20260903_155808,2026-09-03T16:01:33.555000,3,preflop,user,call,12172.0
20260903_155808,2026-09-03T16:01:34.676000,3,preflop,robot,raise 216,
20260903_155808,2026-09-03T16:01:51.459000,3,preflop,user,call,16774.0
20260903_155808,2026-09-03T16:01:56.454000,3,flop,user,check,4974.0
20260903_155808,2026-09-03T16:01:58.204000,3,flop,robot,raise 112,
20260903_155808,2026-09-03T16:02:15.415000,3,flop,user,raise 132,17206.0
20260903_155808,2026-09-03T16:02:17.226000,3,flop,robot,raise 228,
20260903_155808,2026-09-03T16:02:33.373000,3,flop,user,raise 248,16137.0
20260903_155808,2026-09-03T16:02:35.242000,3,flop,robot,raise 327,
20260903_155808,2026-09-03T16:02:53.390000,3,flop,user,raise 347,18145.0
20260903_155808,2026-09-03T16:02:55.399000,3,flop,robot,raise 412,
20260903_155808,2026-09-03T16:03:15.746000,3,flop,user,call,20331.0
20260903_155808,2026-09-03T16:03:19.256000,3,turn,user,allin,3510.0
20260903_155808,2026-09-03T16:03:20.445000,3,turn,robot,fold,
