session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_164929,2026-09-03T16:50:12.677000,1,preflop,user,call,10577.0
20260903_164929,2026-09-03T16:50:14.168000,1,preflop,robot,raise 40,
20260903_164929,2026-09-03T16:50:29.579000,1,preflop,user,raise 60,15411.0
20260903_164929,2026-09-03T16:50:30.898000,1,preflop,robot,call 20,
20260903_164929,2026-09-03T16:50:44.230000,1,flop,user,check,13330.0
20260903_164929,2026-09-03T16:50:45.617000,1,flop,robot,check,
20260903_164929,2026-09-03T16:51:03.106000,1,turn,user,raise 20,17483.0
20260903_164929,2026-09-03T16:51:04.251000,1,turn,robot,call 20,
20260903_164929,2026-09-03T16:51:26.310000,1,river,user,raise 200,22027.0
20260903_164929,2026-09-03T16:51:28.111000,1,river,robot,call 200,
20260903_164929,2026-09-03T16:52:12.206000,2,preflop,user,call,16191.0
20260903_164929,2026-09-03T16:52:13.365000,2,preflop,robot,raise 216,
20260903_164929,2026-09-03T16:52:34.819000,2,preflop,user,call,21447.0
20260903_164929,2026-09-03T16:52:41.448000,2,flop,user,check,6617.0
20260903_164929,2026-09-03T16:52:42.947000,2,flop,robot,raise 112,
20260903_164929,2026-09-03T16:52:59.121000,2,flop,user,call,16171.0
20260903_164929,2026-09-03T16:53:04.021000,2,turn,user,check,4900.0
20260903_164929,2026-09-03T16:53:06.039000,2,turn,robot,raise 168,
20260903_164929,2026-09-03T16:53:20.138000,2,turn,user,call,14092.0
20260903_164929,2026-09-03T16:53:24.782000,2,river,user,check,4637.0
20260903_164929,2026-09-03T16:53:35.799000,2,river,robot,allin 504,
20260903_164929,2026-09-03T16:53:52.320000,2,river,user,allin,16521.0
20260903_164929,2026-09-03T16:54:37.076000,3,preflop,user,raise 40,11519.0
20260903_164929,2026-09-03T16:54:38.962000,3,preflop,robot,raise 236,
20260903_164929,2026-09-03T16:54:57.667000,3,preflop,user,call,18699.0
20260903_164929,2026-09-03T16:55:01.744000,3,flop,user,allin,4071.0
20260903_164929,2026-09-03T16:55:03.067000,3,flop,robot,fold,
