session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_162831,2026-09-03T16:29:01.480000,1,preflop,user,call,10203.0
20260903_162831,2026-09-03T16:29:03.072000,1,preflop,robot,raise 40,
20260903_162831,2026-09-03T16:29:14.589000,1,preflop,user,raise 60,11517.0
20260903_162831,2026-09-03T16:29:16.412000,1,preflop,robot,call 20,
20260903_162831,2026-09-03T16:29:32.561000,1,flop,user,check,16149.0
20260903_162831,2026-09-03T16:29:34.153000,1,flop,robot,check,
20260903_162831,2026-09-03T16:29:46.577000,1,turn,user,raise 20,12421.0
20260903_162831,2026-09-03T16:29:47.657000,1,turn,robot,call 20,
20260903_162831,2026-09-03T16:30:10.889000,1,river,user,raise 50,23216.0
20260903_162831,2026-09-03T16:30:12.761000,1,river,robot,call 50,
20260903_162831,2026-09-03T16:30:50.585000,2,preflop,user,raise 40,11042.0
20260903_162831,2026-09-03T16:30:51.797000,2,preflop,robot,raise 236,
20260903_162831,2026-09-03T16:31:10.528000,2,preflop,user,call,18727.0
20260903_162831,2026-09-03T16:31:16.199000,2,flop,user,raise 20,5660.0
20260903_162831,2026-09-03T16:31:17.374000,2,flop,robot,raise 129,
20260903_162831,2026-09-03T16:31:36.213000,2,flop,user,call,18834.0
20260903_162831,2026-09-03T16:31:49.732000,2,turn,user,raise 120,13517.0
20260903_162831,2026-09-03T16:31:51.703000,2,turn,robot,raise 278,
20260903_162831,2026-09-03T16:32:08.647000,2,turn,user,call,16936.0
20260903_162831,2026-09-03T16:32:13.397000,2,river,user,check,4750.0
20260903_162831,2026-09-03T16:32:24.107000,2,river,robot,allin 357,
20260903_162831,2026-09-03T16:32:42.765000,2,river,user,allin,18658.0
20260903_162831,2026-09-03T16:33:32.019000,3,preflop,user,raise 40,14982.0
20260903_162831,2026-09-03T16:33:34.034000,3,preflop,robot,raise 236,
20260903_162831,2026-09-03T16:33:52.174000,3,preflop,user,call,18136.0
20260903_162831,2026-09-03T16:34:01.713000,3,flop,user,raise 200,9535.0
20260903_162831,2026-09-03T16:34:03.736000,3,flop,robot,raise 309,
20260903_162831,2026-09-03T16:34:19.788000,3,flop,user,call,16046.0
20260903_162831,2026-09-03T16:34:24.136000,3,turn,user,check,4340.0
20260903_162831,2026-09-03T16:34:25.503000,3,turn,robot,raise 113,
20260903_162831,2026-09-03T16:34:39.097000,3,turn,user,call,13590.0
20260903_162831,2026-09-03T16:34:55.506000,3,river,user,raise 200,16403.0
20260903_162831,2026-09-03T16:35:06.288000,3,river,robot,allin 342,
20260903_162831,2026-09-03T16:35:27.893000,3,river,user,call,21605.0
