session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260904_131024,2026-09-04T13:11:07.818000,1,preflop,user,call,14686.0
20260904_131024,2026-09-04T13:11:09.632000,1,preflop,robot,raise 40,
20260904_131024,2026-09-04T13:11:36.206000,1,preflop,user,call,26567.0
20260904_131024,2026-09-04T13:11:49.035000,1,flop,user,check,12822.0
20260904_131024,2026-09-04T13:11:50.619000,1,flop,robot,check,
20260904_131024,2026-09-04T13:12:12.833000,1,turn,user,check,22206.0
20260904_131024,2026-09-04T13:12:14.766000,1,turn,robot,check,
20260904_131024,2026-09-04T13:12:30.106000,1,river,user,check,15332.0
20260904_131024,2026-09-04T13:12:31.720000,1,river,robot,raise 30,
20260904_131024,2026-09-04T13:12:43.372000,1,river,user,fold,11644.0
20260904_131024,2026-09-04T13:13:14.435000,2,preflop,user,raise 40,20111.0
20260904_131024,2026-09-04T13:13:15.765000,2,preflop,robot,raise 236,
20260904_131024,2026-09-04T13:13:40.820000,2,preflop,user,call,25049.0
20260904_131024,2026-09-04T13:13:50.015000,2,flop,user,allin,9179.0
20260904_131024,2026-09-04T13:13:51.614000,2,flop,robot,fold,
20260904_131024,2026-09-04T13:14:29.266000,3,preflop,user,call,10398.0
20260904_131024,2026-09-04T13:14:31.039000,3,preflop,robot,raise 216,
20260904_131024,2026-09-04T13:14:50.761000,3,preflop,user,raise 236,19718.0
20260904_131024,2026-09-04T13:14:52.280000,3,preflop,robot,raise 392,
20260904_131024,2026-09-04T13:15:15.601000,3,preflop,user,raise 412,23310.0
20260904_131024,2026-09-04T13:15:17.173000,3,preflop,robot,raise 533,
20260904_131024,2026-09-04T13:15:38.912000,3,preflop,user,call,21725.0
20260904_131024,2026-09-04T13:15:49.927000,3,flop,user,check,11011.0
20260904_131024,2026-09-04T13:15:51.935000,3,flop,robot,raise 66,
20260904_131024,2026-09-04T13:16:13.264000,3,flop,user,call,21320.0
20260904_131024,2026-09-04T13:16:19.188000,3,turn,user,raise 20,5914.0
20260904_131024,2026-09-04T13:16:21.023000,3,turn,robot,raise 120,
20260904_131024,2026-09-04T13:16:42.473000,3,turn,user,allin,21429.0
20260904_131024,2026-09-04T13:16:43.531000,3,turn,robot,fold,
