session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_132430,2026-09-03T13:25:00.323000,1,preflop,user,call,10053.0
20260903_132430,2026-09-03T13:25:01.781000,1,preflop,robot,raise 40,
20260903_132430,2026-09-03T13:25:10.577000,1,preflop,user,call,8790.0
20260903_132430,2026-09-03T13:25:20.045000,1,flop,user,check,9464.0
20260903_132430,2026-09-03T13:25:21.476000,1,flop,robot,check,
20260903_132430,2026-09-03T13:25:36.287000,1,turn,user,raise 20,14806.0
20260903_132430,2026-09-03T13:25:37.529000,1,turn,robot,call 20,
20260903_132430,2026-09-03T13:25:57.592000,1,river,user,raise 20,20059.0
20260903_132430,2026-09-03T13:25:59.492000,1,river,robot,call 20,
20260903_132430,2026-09-03T13:26:36.641000,2,preflop,user,call,11163.0
20260903_132430,2026-09-03T13:26:38.505000,2,preflop,robot,raise 216,
20260903_132430,2026-09-03T13:26:54.985000,2,preflop,user,raise 236,16479.0
20260903_132430,2026-09-03T13:26:56.171000,2,preflop,robot,raise 392,
20260903_132430,2026-09-03T13:27:17.076000,2,preflop,user,call,20898.0
20260903_132430,2026-09-03T13:27:23.356000,2,flop,user,check,6267.0
20260903_132430,2026-09-03T13:27:24.617000,2,flop,robot,raise 86,
20260903_132430,2026-09-03T13:27:36.753000,2,flop,user,call,12127.0
20260903_132430,2026-09-03T13:27:41.188000,2,turn,user,check,4428.0
20260903_132430,2026-09-03T13:27:42.355000,2,turn,robot,raise 130,
20260903_132430,2026-09-03T13:28:00.105000,2,turn,user,call,17740.0
20260903_132430,2026-09-03T13:28:04.379000,2,river,user,check,4272.0
20260903_132430,2026-09-03T13:28:15.186000,2,river,robot,allin 392,
20260903_132430,2026-09-03T13:28:33.089000,2,river,user,call,17901.0
20260903_132430,2026-09-03T13:29:03.615000,3,preflop,user,allin,9127.0
20260903_132430,2026-09-03T13:29:04.651000,3,preflop,robot,fold,
