session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260904_132048,2026-09-04T13:21:26.365000,1,preflop,user,raise 40,16803.0
20260904_132048,2026-09-04T13:21:28.339000,1,preflop,robot,call 20,
20260904_132048,2026-09-04T13:21:57.453000,1,flop,user,raise 20,29114.0
20260904_132048,2026-09-04T13:21:58.625000,1,flop,robot,call 20,
20260904_132048,2026-09-04T13:22:25.281000,1,turn,user,raise 50,26646.0
20260904_132048,2026-09-04T13:22:26.386000,1,turn,robot,call 50,
20260904_132048,2026-09-04T13:22:51.692000,1,river,user,check,25295.0
20260904_132048,2026-09-04T13:22:53.685000,1,river,robot,raise 30,
20260904_132048,2026-09-04T13:23:05.853000,1,river,user,call,12155.0
20260904_132048,2026-09-04T13:23:56.133000,2,preflop,user,raise 40,27012.0
20260904_132048,2026-09-04T13:23:57.847000,2,preflop,robot,raise 236,
20260904_132048,2026-09-04T13:24:29.281000,2,preflop,user,raise 256,31417.0
20260904_132048,2026-09-04T13:24:31.223000,2,preflop,robot,raise 408,
20260904_132048,2026-09-04T13:25:21.607000,2,preflop,user,call,50374.0
20260904_132048,2026-09-04T13:25:32.186000,2,flop,user,check,10567.0
20260904_132048,2026-09-04T13:25:33.945000,2,flop,robot,raise 84,
20260904_132048,2026-09-04T13:25:50.491000,2,flop,user,call,16538.0
20260904_132048,2026-09-04T13:26:11.956000,2,turn,user,raise 20,21452.0
20260904_132048,2026-09-04T13:26:13.119000,2,turn,robot,raise 147,
20260904_132048,2026-09-04T13:26:45.953000,2,turn,user,call,32829.0
20260904_132048,2026-09-04T13:27:00.590000,2,river,user,raise 60,14634.0
20260904_132048,2026-09-04T13:27:10.881000,2,river,robot,allin 361,
20260904_132048,2026-09-04T13:27:51.574000,2,river,user,call,40693.0
20260904_132048,2026-09-04T13:28:45.282000,3,preflop,user,raise 40,31732.0
20260904_132048,2026-09-04T13:28:46.509000,3,preflop,robot,raise 236,
20260904_132048,2026-09-04T13:29:06.541000,3,preflop,user,call,20019.0
20260904_132048,2026-09-04T13:29:26.551000,3,flop,user,raise 20,20000.0
20260904_132048,2026-09-04T13:29:28.346000,3,flop,robot,raise 129,
20260904_132048,2026-09-04T13:29:53.095000,3,flop,user,call,24743.0
20260904_132048,2026-09-04T13:30:03.730000,3,turn,user,check,10631.0
20260904_132048,2026-09-04T13:30:05.148000,3,turn,robot,raise 158,
20260904_132048,2026-09-04T13:30:23.046000,3,turn,user,call,17889.0
20260904_132048,2026-09-04T13:30:45.862000,3,river,user,check,22807.0
20260904_132048,2026-09-04T13:30:56.576000,3,river,robot,allin 477,
20260904_132048,2026-09-04T13:31:25.583000,3,river,user,allin,29000.0
