session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260904_134351,2026-09-04T13:44:24.491000,1,preflop,user,call,9854.0
20260904_134351,2026-09-04T13:44:26.228000,1,preflop,robot,raise 40,
20260904_134351,2026-09-04T13:44:35.238000,1,preflop,user,call,9005.0
20260904_134351,2026-09-04T13:44:50.978000,1,flop,user,raise 20,15733.0
20260904_134351,2026-09-04T13:44:52.794000,1,flop,robot,call 20,
20260904_134351,2026-09-04T13:45:11.918000,1,turn,user,raise 100,19112.0
20260904_134351,2026-09-04T13:45:13.013000,1,turn,robot,call 100,
20260904_134351,2026-09-04T13:45:32.698000,1,river,user,raise 200,19671.0
20260904_134351,2026-09-04T13:45:33.768000,1,river,robot,call 200,
20260904_134351,2026-09-04T13:46:10.866000,2,preflop,user,call,9873.0
20260904_134351,2026-09-04T13:46:12.674000,2,preflop,robot,raise 216,
20260904_134351,2026-09-04T13:46:29.840000,2,preflop,user,call,17163.0
20260904_134351,2026-09-04T13:46:43.242000,2,flop,user,raise 100,13392.0
20260904_134351,2026-09-04T13:46:44.709000,2,flop,robot,raise 212,
20260904_134351,2026-09-04T13:47:02.494000,2,flop,user,call,17781.0
20260904_134351,2026-09-04T13:47:10.078000,2,turn,user,allin,7576.0
20260904_134351,2026-09-04T13:47:11.744000,2,turn,robot,fold,
20260904_134351,2026-09-04T13:47:54.530000,3,preflop,user,call,12285.0
20260904_134351,2026-09-04T13:47:56.052000,3,preflop,robot,raise 216,
20260904_134351,2026-09-04T13:48:12.645000,3,preflop,user,call,16583.0
20260904_134351,2026-09-04T13:48:25.960000,3,flop,user,raise 250,13313.0
20260904_134351,2026-09-04T13:48:27.464000,3,flop,robot,raise 362,
20260904_134351,2026-09-04T13:48:53.698000,3,flop,user,raise 382,26227.0
20260904_134351,2026-09-04T13:48:55.261000,3,flop,robot,raise 442,
20260904_134351,2026-09-04T13:49:15.208000,3,flop,user,raise 462,19945.0
20260904_134351,2026-09-04T13:49:16.278000,3,flop,robot,raise 510,
20260904_134351,2026-09-04T13:49:36.614000,3,flop,user,raise 530,20328.0
20260904_134351,2026-09-04T13:49:38.192000,3,flop,robot,raise 570,
20260904_134351,2026-09-04T13:49:53.987000,3,flop,user,call,15789.0
20260904_134351,2026-09-04T13:50:05.798000,3,turn,user,raise 100,11797.0
20260904_134351,2026-09-04T13:50:07.643000,3,turn,robot,raise 160,
20260904_134351,2026-09-04T13:50:28.841000,3,turn,user,allin,21175.0
20260904_134351,2026-09-04T13:50:30.099000,3,turn,robot,fold,
20260904_140758,2026-09-04T14:08:29.588000,1,preflop,user,call,11834.0
20260904_140758,2026-09-04T14:08:31.277000,1,preflop,robot,raise 40,
20260904_140758,2026-09-04T14:08:40.577000,1,preflop,user,call,9293.0
20260904_140758,2026-09-04T14:08:50.417000,1,flop,user,check,9819.0
20260904_140758,2026-09-04T14:08:52.166000,1,flop,robot,check,
20260904_140758,2026-09-04T14:09:19.391000,1,turn,user,raise 50,27225.0
20260904_140758,2026-09-04T14:09:21.157000,1,turn,robot,call 50,
20260904_140758,2026-09-04T14:09:40.443000,1,river,user,raise 20,19279.0
20260904_140758,2026-09-04T14:09:42.321000,1,river,robot,call 20,
20260904_140758,2026-09-04T14:10:45.375000,2,preflop,user,call,10696.0
20260904_140758,2026-09-04T14:10:47.106000,2,preflop,robot,raise 216,
20260904_140758,2026-09-04T14:11:05.640000,2,preflop,user,call,18534.0
20260904_140758,2026-09-04T14:11:10.308000,2,flop,user,check,4654.0
20260904_140758,2026-09-04T14:11:11.737000,2,flop,robot,raise 112,
20260904_140758,2026-09-04T14:11:30.241000,2,flop,user,fold,18500.0
20260904_140758,2026-09-04T14:12:16.229000,3,preflop,user,call,9630.0
20260904_140758,2026-09-04T14:12:18.007000,3,preflop,robot,raise 216,
20260904_140758,2026-09-04T14:12:33.276000,3,preflop,user,call,15265.0
20260904_140758,2026-09-04T14:12:43.593000,3,flop,user,raise 150,10313.0
20260904_140758,2026-09-04T14:12:45.219000,3,flop,robot,raise 262,
20260904_140758,2026-09-04T14:13:04.360000,3,flop,user,call,19133.0
20260904_140758,2026-09-04T14:13:09.394000,3,turn,user,check,5025.0
20260904_140758,2026-09-04T14:13:11.121000,3,turn,robot,raise 130,
20260904_140758,2026-09-04T14:13:24.322000,3,turn,user,call,13193.0
20260904_140758,2026-09-04T14:13:29.748000,3,river,user,check,5425.0
20260904_140758,2026-09-04T14:13:40.719000,3,river,robot,allin 392,
20260904_140758,2026-09-04T14:13:57.446000,3,river,user,call,16725.0
