session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_134817,2026-09-03T13:48:51.202000,1,preflop,user,call,10768.0
20260903_134817,2026-09-03T13:48:52.892000,1,preflop,robot,raise 40,
20260903_134817,2026-09-03T13:49:05.805000,1,preflop,user,call,12905.0
20260903_134817,2026-09-03T13:49:16.486000,1,flop,user,check,10665.0
20260903_134817,2026-09-03T13:49:17.811000,1,flop,robot,check,
20260903_134817,2026-09-03T13:49:40.917000,1,turn,user,check,23106.0
20260903_134817,2026-09-03T13:49:41.974000,1,turn,robot,check,
20260903_134817,2026-09-03T13:49:58.918000,1,river,user,check,16941.0
20260903_134817,2026-09-03T13:50:00.446000,1,river,robot,raise 30,
20260903_134817,2026-09-03T13:50:13.196000,1,river,user,call,12748.0
20260903_134817,2026-09-03T13:50:44.213000,2,preflop,user,raise 40,12666.0
20260903_134817,2026-09-03T13:50:45.334000,2,preflop,robot,raise 236,
20260903_134817,2026-09-03T13:51:06.367000,2,preflop,user,call,21028.0
20260903_134817,2026-09-03T13:51:15.548000,2,flop,user,check,9167.0
20260903_134817,2026-09-03T13:51:17.467000,2,flop,robot,raise 109,
20260903_134817,2026-09-03T13:51:34.265000,2,flop,user,call,16792.0
20260903_134817,2026-09-03T13:51:40.020000,2,turn,user,check,5749.0
20260903_134817,2026-09-03T13:51:41.068000,2,turn,robot,raise 163,
20260903_134817,2026-09-03T13:51:57.416000,2,turn,user,call,16342.0
20260903_134817,2026-09-03T13:52:09.053000,2,river,user,check,11637.0
20260903_134817,2026-09-03T13:52:20.084000,2,river,robot,allin 492,
20260903_134817,2026-09-03T13:52:42.704000,2,river,user,call,22616.0
20260903_134817,2026-09-03T13:53:27.620000,3,preflop,user,raise 100,21222.0
20260903_134817,2026-09-03T13:53:29.201000,3,preflop,robot,raise 296,
20260903_134817,2026-09-03T13:54:00.109000,3,preflop,user,raise 250,30906.0
20260903_134817,2026-09-03T13:54:03.741000,3,preflop,user,call,
20260903_134817,2026-09-03T13:54:08.760000,3,flop,user,check,5005.0
20260903_134817,2026-09-03T13:54:10.414000,3,flop,robot,raise 100,
20260903_134817,2026-09-03T13:54:36.073000,3,flop,user,raise 200,25636.0
20260903_134817,2026-09-03T13:54:37.358000,3,flop,robot,raise 286,
20260903_134817,2026-09-03T13:54:58.741000,3,flop,user,raise 306,21379.0
20260903_134817,2026-09-03T13:55:00.592000,3,flop,robot,raise 365,
20260903_134817,2026-09-03T13:55:19.577000,3,flop,user,call,18969.0
20260903_134817,2026-09-03T13:55:28.195000,3,turn,user,allin,8610.0
20260903_134817,2026-09-03T13:55:29.543000,3,turn,robot,fold,
