session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_100351,2026-09-03T10:05:07.240000,1,preflop,user,raise 40,52568.0
20260903_100351,2026-09-03T10:05:08.524000,1,preflop,robot,call 20,
20260903_100351,2026-09-03T10:05:35.982000,1,flop,user,check,27452.0
20260903_100351,2026-09-03T10:05:37.529000,1,flop,robot,check,
20260903_100351,2026-09-03T10:05:54.491000,1,turn,user,raise 20,16945.0
20260903_100351,2026-09-03T10:05:55.637000,1,turn,robot,call 20,
20260903_100351,2026-09-03T10:06:18.334000,1,river,user,raise 20,22689.0
20260903_100351,2026-09-03T10:06:19.649000,1,river,robot,call 20,
20260903_100351,2026-09-03T10:06:56.100000,2,preflop,user,raise 40,12423.0
20260903_100351,2026-09-03T10:06:57.944000,2,preflop,robot,raise 236,
20260903_100351,2026-09-03T10:07:18.033000,2,preflop,user,raise 256,20077.0
20260903_100351,2026-09-03T10:07:20.011000,2,preflop,robot,raise 408,
20260903_100351,2026-09-03T10:07:51.083000,2,preflop,user,raise 428,31065.0
20260903_100351,2026-09-03T10:07:52.371000,2,preflop,robot,raise 546,
20260903_100351,2026-09-03T10:08:16.472000,2,preflop,user,raise 566,24101.0
20260903_100351,2026-09-03T10:08:17.899000,2,preflop,robot,raise 656,
20260903_100351,2026-09-03T10:08:48.097000,2,preflop,user,call,30190.0
20260903_100351,2026-09-03T10:08:56.490000,2,flop,user,check,8382.0
20260903_100351,2026-09-03T10:08:57.805000,2,flop,robot,raise 49,
20260903_100351,2026-09-03T10:09:26.324000,2,flop,user,raise 69,28510.0
20260903_100351,2026-09-03T10:09:27.522000,2,flop,robot,raise 111,
20260903_100351,2026-09-03T10:09:54.900000,2,flop,user,fold,27374.0
20260903_100351,2026-09-03T10:10:36.866000,3,preflop,user,raise 40,10553.0
20260903_100351,2026-09-03T10:10:37.989000,3,preflop,robot,raise 236,
20260903_100351,2026-09-03T10:10:59.019000,3,preflop,user,raise 256,21024.0
20260903_100351,2026-09-03T10:11:00.614000,3,preflop,robot,raise 408,
20260903_100351,2026-09-03T10:11:19.730000,3,preflop,user,raise 428,19109.0
20260903_100351,2026-09-03T10:11:21.247000,3,preflop,robot,raise 546,
20260903_100351,2026-09-03T10:11:40.436000,3,preflop,user,raise 566,19185.0
20260903_100351,2026-09-03T10:11:42.079000,3,preflop,robot,raise 656,
20260903_100351,2026-09-03T10:11:59.695000,3,preflop,user,call,17600.0
20260903_100351,2026-09-03T10:12:05.099000,3,flop,user,raise 20,5400.0
20260903_100351,2026-09-03T10:12:06.736000,3,flop,robot,raise 69,
20260903_100351,2026-09-03T10:12:28.794000,3,flop,user,raise 89,22035.0
20260903_100351,2026-09-03T10:12:29.876000,3,flop,robot,raise 129,
20260903_100351,2026-09-03T10:12:51.053000,3,flop,user,raise 149,21170.0
20260903_100351,2026-09-03T10:12:52.405000,3,flop,robot,raise 189,
20260903_100351,2026-09-03T10:13:13.125000,3,flop,user,allin,20716.0
20260903_100351,2026-09-03T10:13:15.103000,3,flop,robot,fold,
