session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_155013,2026-09-03T15:50:56.824000,1,preflop,user,raise 40,11731.0
20260903_155013,2026-09-03T15:50:57.911000,1,preflop,robot,call 20,
20260903_155013,2026-09-03T15:51:25.190000,1,flop,user,raise 60,27272.0
20260903_155013,2026-09-03T15:51:26.376000,1,flop,robot,call 60,
20260903_155013,2026-09-03T15:51:41.313000,1,turn,user,check,14933.0
20260903_155013,2026-09-03T15:51:42.893000,1,turn,robot,check,
20260903_155013,2026-09-03T15:52:10.764000,1,river,user,raise 250,27866.0
20260903_155013,2026-09-03T15:52:12.324000,1,river,robot,call 250,
20260903_155013,2026-09-03T15:52:49.985000,2,preflop,user,raise 40,13614.0
20260903_155013,2026-09-03T15:52:51.469000,2,preflop,robot,raise 236,
20260903_155013,2026-09-03T15:53:09.446000,2,preflop,user,allin,17970.0
20260903_155013,2026-09-03T15:53:11.275000,2,preflop,robot,fold,
20260903_155013,2026-09-03T15:53:57.171000,3,preflop,user,raise 50,17021.0
20260903_155013,2026-09-03T15:53:58.604000,3,preflop,robot,raise 246,
20260903_155013,2026-09-03T15:54:16.422000,3,preflop,user,call,17812.0
20260903_155013,2026-09-03T15:54:31.071000,3,flop,user,raise 350,14626.0
20260903_155013,2026-09-03T15:54:32.589000,3,flop,robot,raise 457,
20260903_155013,2026-09-03T15:54:52.511000,3,flop,user,allin,19922.0
20260903_155013,2026-09-03T15:54:53.708000,3,flop,robot,fold,
