session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_103209,2026-09-03T10:32:52.306000,1,preflop,user,raise 60,22729.0
20260903_103209,2026-09-03T10:32:53.796000,1,preflop,robot,call 40,
20260903_103209,2026-09-03T10:33:11.649000,1,flop,user,check,17849.0
20260903_103209,2026-09-03T10:33:12.889000,1,flop,robot,check,
20260903_103209,2026-09-03T10:33:30.647000,1,turn,user,raise 80,17738.0
20260903_103209,2026-09-03T10:33:32.358000,1,turn,robot,call 80,
20260903_103209,2026-09-03T10:33:53.436000,1,river,user,raise 20,21066.0
20260903_103209,2026-09-03T10:33:55.236000,1,river,robot,call 20,
20260903_103209,2026-09-03T10:34:36.823000,2,preflop,user,raise 40,11408.0
20260903_103209,2026-09-03T10:34:38.497000,2,preflop,robot,raise 236,
20260903_103209,2026-09-03T10:34:56.079000,2,preflop,user,call,17580.0
20260903_103209,2026-09-03T10:35:02.779000,2,flop,user,check,6700.0
20260903_103209,2026-09-03T10:35:04.662000,2,flop,robot,raise 109,
20260903_103209,2026-09-03T10:35:17.950000,2,flop,user,call,13286.0
20260903_103209,2026-09-03T10:35:25.277000,2,turn,user,check,7311.0
20260903_103209,2026-09-03T10:35:26.906000,2,turn,robot,raise 163,
20260903_103209,2026-09-03T10:35:45.032000,2,turn,user,raise 183,18113.0
20260903_103209,2026-09-03T10:35:46.546000,2,turn,robot,raise 306,
20260903_103209,2026-09-03T10:36:03.428000,2,turn,user,call,16863.0
20260903_103209,2026-09-03T10:36:06.993000,2,river,user,check,3553.0
20260903_103209,2026-09-03T10:36:17.261000,2,river,robot,allin 349,
20260903_103209,2026-09-03T10:36:36.085000,2,river,user,call,18822.0
20260903_103209,2026-09-03T10:37:06.134000,3,preflop,user,call,11335.0
20260903_103209,2026-09-03T10:37:08.145000,3,preflop,robot,raise 216,
20260903_103209,2026-09-03T10:37:24.336000,3,preflop,user,call,16181.0
20260903_103209,2026-09-03T10:37:29.145000,3,flop,user,check,4791.0
20260903_103209,2026-09-03T10:37:30.849000,3,flop,robot,raise 112,
20260903_103209,2026-09-03T10:37:48.693000,3,flop,user,call,17838.0
20260903_103209,2026-09-03T10:37:55.685000,3,turn,user,check,6983.0
20260903_103209,2026-09-03T10:37:57.252000,3,turn,robot,raise 168,
20260903_103209,2026-09-03T10:38:19.236000,3,turn,user,call,21981.0
20260903_103209,2026-09-03T10:38:29.056000,3,river,user,allin,9809.0
20260903_103209,2026-09-03T10:38:31.069000,3,river,robot,fold,
