session_id,timestamp,hand_number,street,actor,action,reaction_time_ms
20260903_155808,2026-09-03T15:58:40.498000,1,preflop,user,call,11234.0
20260903_155808,2026-09-03T15:58:42.402000,1,preflop,robot,raise 40,
20260903_155808,2026-09-03T15:58:51.679000,1,preflop,user,call,9259.0
20260903_155808,2026-09-03T15:58:59.603000,1,flop,user,allin,7918.0
20260903_155808,2026-09-03T15:59:01.534000,1,flop,robot,fold,
20260903_155808,2026-09-03T15:59:46.052000,2,preflop,user,call,10240.0
20260903_155808,2026-09-03T15:59:48.011000,2,preflop,robot,raise 216,
20260903_155808,2026-09-03T16:00:08.181000,2,preflop,user,raise 236,20163.0
20260903_155808,2026-09-03T16:00:10.027000,2,preflop,robot,raise 392,
20260903_155808,2026-09-03T16:00:27.587000,2,preflop,user,call,17521.0
20260903_155808,2026-09-03T16:00:35.170000,2,flop,user,check,7566.0
20260903_155808,2026-09-03T16:00:36.716000,2,flop,robot,raise 86,
20260903_155808,2026-09-03T16:00:52.773000,2,flop,user,allin,16053.0
20260903_155808,2026-09-03T16:00:54.420000,2,flop,robot,fold,
20260903_155808,2026-09-03T16:01:33.555000,3,preflop,user,call,12172.0
20260903_155808,2026-09-03T16:01:34.676000,3,preflop,robot,raise 216,
20260903_155808,2026-09-03T16:01:51.459000,3,preflop,user,call,16774.0
20260903_155808,2026-09-03T16:01:56.454000,3,flop,user,check,4974.0
20260903_155808,2026-09-03T16:01:58.204000,3,flop,robot,raise 112,
20260903_155808,2026-09-03T16:02:15.415000,3,flop,user,raise 132,17206.0
20260903_155808,2026-09-03T16:02:17.226000,3,flop,robot,raise 228,
20260903_155808,2026-09-03T16:02:33.373000,3,flop,user,raise 248,16137.0
20260903_155808,2026-09-03T16:02:35.242000,3,flop,robot,raise 327,
20260903_155808,2026-09-03T16:02:53.390000,3,flop,user,raise 347,18145.0
20260903_155808,2026-09-03T16:02:55.399000,3,flop,robot,raise 412,
20260903_155808,2026-09-03T16:03:15.746000,3,flop,user,call,20331.0
20260903_155808,2026-09-03T16:03:19.256000,3,turn,user,allin,3510.0
20260903_155808,2026-09-03T16:03:20.445000,3,turn,robot,fold,
20260903_161621,2026-09-03T16:17:12.354000,1,preflop,user,call,26163.0
20260903_161621,2026-09-03T16:17:13.987000,1,preflop,robot,raise 40,
20260903_161621,2026-09-03T16:17:27.154000,1,preflop,user,call,13167.0
20260903_161621,2026-09-03T16:17:39.209000,1,flop,user,check,12039.0
20260903_161621,2026-09-03T16:17:40.543000,1,flop,robot,check,
20260903_161621,2026-09-03T16:17:59.365000,1,turn,user,raise 20,18820.0
20260903_161621,2026-09-03T16:18:00.583000,1,turn,robot,call 20,
20260903_161621,2026-09-03T16:18:18.499000,1,river,user,check,17905.0
20260903_161621,2026-09-03T16:18:19.718000,1,river,robot,raise 30,
20260903_161621,2026-09-03T16:18:29.896000,1,river,user,call,10168.0
20260903_161621,2026-09-03T16:18:59.450000,2,preflop,user,call,9860.0
20260903_161621,2026-09-03T16:19:01.126000,2,preflop,robot,raise 216,
20260903_161621,2026-09-03T16:19:23.189000,2,preflop,user,raise 236,22056.0
20260903_161621,2026-09-03T16:19:24.897000,2,preflop,robot,raise 392,
20260903_161621,2026-09-03T16:19:43.799000,2,preflop,user,call,18902.0
20260903_161621,2026-09-03T16:19:49.022000,2,flop,user,check,5207.0
20260903_161621,2026-09-03T16:19:50.309000,2,flop,robot,raise 86,
20260903_161621,2026-09-03T16:20:05.070000,2,flop,user,call,14740.0
20260903_161621,2026-09-03T16:20:11.405000,2,turn,user,raise 20,6333.0
20260903_161621,2026-09-03T16:20:13.046000,2,turn,robot,raise 150,
20260903_161621,2026-09-03T16:20:31.053000,2,turn,user,call,17998.0
20260903_161621,2026-09-03T16:20:35.976000,2,river,user,check,4916.0
20260903_161621,2026-09-03T16:20:46.054000,2,river,robot,allin 372,
20260903_161621,2026-09-03T16:21:05.346000,2,river,user,call,19290.0
20260903_161621,2026-09-03T16:21:37.764000,3,preflop,user,raise 40,12018.0
20260903_161621,2026-09-03T16:21:39.509000,3,preflop,robot,raise 236,
20260903_161621,2026-09-03T16:22:00.069000,3,preflop,user,call,20560.0
20260903_161621,2026-09-03T16:22:05.078000,3,flop,user,raise 20,5003.0
20260903_161621,2026-09-03T16:22:06.811000,3,flop,robot,raise 129,
20260903_161621,2026-09-03T16:22:29.519000,3,flop,user,raise 149,22705.0
20260903_161621,2026-09-03T16:22:31.276000,3,flop,robot,raise 239,
20260903_161621,2026-09-03T16:22:49.671000,3,flop,user,call,18389.0
20260903_161621,2026-09-03T16:22:54.401000,3,turn,user,check,4705.0
20260903_161621,2026-09-03T16:22:55.978000,3,turn,robot,raise 131,
20260903_161621,2026-09-03T16:23:15.292000,3,turn,user,call,19306.0
20260903_161621,2026-09-03T16:23:19.443000,3,river,user,check,4146.0
20260903_161621,2026-09-03T16:23:29.925000,3,river,robot,allin 394,
20260903_161621,2026-09-03T16:23:49.657000,3,river,user,allin,19732.0
